Cost,NLoadEos,PLoadEos,SLoadEos,NLoadEor,PLoadEor,SLoadEor,NLoadEot,PLoadEot,SLoadEot
635868.0,1186825.0677380392,72233.46360443428,134106494.70989558,1028837.3144833018,56025.51783305532,67676171.88263583,1023344.579532963,47692.720129608155,73977094.51849785
1120260.0,1164530.969259875,72036.87119743272,132555760.61757435,1009654.0190459043,55875.288954367104,66893138.2198335,1004581.7291972933,47564.835120351985,73121157.28574848
718151.0,1179864.3029193983,74280.63690547283,134535442.56905127,1022902.3279145944,57505.002163730795,67901266.70095713,1017779.8682109651,48952.15752257082,74223146.56587806
1167490.0,1163111.6977465423,71932.22251557045,132221646.89670856,1008442.9059376505,55793.47808451476,66743481.4718554,1003510.4383042416,47495.192159959304,72957566.89517929
724830.0,1176736.817103009,71876.75055659312,132651615.26871707,1020210.2223002483,55748.25336441252,66956044.94456598,1014833.6215017897,47456.693811310324,73189920.87848617
784740.0,1170082.3692319603,74156.50286670873,134119033.13603687,1014328.1411164879,57407.13041990868,67693627.73756367,1009781.9978589088,48868.84245709273,73996175.58342771
1314160.0,1162867.0552411578,72186.78945379712,132480208.92112543,1008221.8571869532,55987.49215327507,66851801.49348614,1003131.6489975143,47660.35009228157,73075971.94463038
543838.0,1191107.0712794992,76396.03941982341,136470138.86470133,1032286.4078332623,59195.04232107927,68836806.69328263,1027224.640752658,50390.834313964326,75245789.07819569
819504.0,1168267.1412933017,74826.33238695044,134406563.2463383,1012722.1206912026,57888.637874030675,67789649.45131002,1008183.8121458899,49278.73425529422,74101137.30327736
482654.0,1195935.5448676457,79396.69729855511,139129245.96655872,1036697.4441158037,61528.92390544663,70068693.00164178,1030969.9847451987,52377.59258990847,76592368.93539518
1006390.0,1164717.719171373,72440.00303223533,132520354.6399199,1009961.9498324052,56210.48475312196,66916947.6052903,1004856.6570991469,47850.17651543328,73147183.42034456
702553.0,1184550.4200666156,78024.07640466263,137501963.29915145,1027092.9462900585,60374.56594245802,69218168.64265406,1021339.675301024,51394.92480944723,75662657.35235478
