"BmpId","BmpShortName","BmpFullName","BmpCategoryId","BmpDetails","ParentBmpId","ParentBmpFullName","BmpGroupId","BmpTypeId"
2,abanminerec,Abandoned Mine Reclamation,1,"Abandoned mine reclamation stabilizes the soil on lands mined for coal or affected by mining, such as wastebanks, coal processing, or other coal mining processes. Enter unit of acre or percent.",2,Abandoned Mine Reclamation,58,1
3,conplan,Soil Conservation and Water Quality Plans,1,"Farm conservation plans are a combination of agronomic, management and engineered practices that protect and improve soil productivity and water quality, and to prevent deterioration of natural resources on all or part of a farm. Plans must meet technical standards. Enter unit of acre or percent.",3,Soil Conservation and Water Quality Plans,3,3
4,advancedgi,Advanced Grey Infrastructure Nutrient Discovery Program (IDDE),1,Illicit discharge detection and elimination credits are only available to localities that show empirical monitoring for each eligible individual discharge. Enter unit of total acres treated or percent of acres treated.,4,Advanced Grey Infrastructure Nutrient Discovery Program (IDDE),42,3
5,urbstrmrestpro,Urban Stream Restoration Protocol,1,"Stream restoration is a change to the land stream corridor that improves the  stream ecosystem by restoring the natural hydrology and landscape of a stream, and helps improve habitat and water quality conditions in degraded streams. Multiple protocols are defined to characterize different pollutant load reductions associated with individual projects. Feet must be specified. To receive credit for a specific protocol, also specify the pounds reduced for TN, TP, and/or TSS.",23,,74,4
6,nonurbstrmrestpro,Non Urban Stream Restoration Protocol,1,"Stream restoration is a change to the land stream corridor that improves the  stream ecosystem by restoring the natural hydrology and landscape of a stream, and helps improve habitat and water quality conditions in degraded streams. Multiple protocols are defined to characterize different pollutant load reductions associated with individual projects. Feet must be specified. To receive credit for a specific protocol, also specify the pounds reduced for TN, TP, and/or TSS.",23,,74,4
7,grassbuffexclnar,Grass Buffer-Narrow with Exclusion Fencing,1,"Converts streamside pasture to open space and prevents livestock from entering the stream. Narrow buffer width is between 10 and 35 feet. Enter units of feet of fence or acres excluded by the fence. There are 17.6 animal units excluded for every 1,000 feet of fencing. Acres are converted to length if you enter a width. If width is not entered, 10 feet is used. Widths greater than 34 should use the Grass Buffer-Streamside with Exclusion Fencing BMP.",7,Buffer-Streamside Pasture,5,1
8,forestbuffexclnar,Forest Buffer-Narrow with Exclusion Fencing,1,"Converts streamside pasture to forest and prevents livestock from entering the stream. Narrow buffer width is between 10 and 35 feet. Enter units of feet of fence or acres excluded by the fence. There are 17.6 animal units excluded for every 1,000 feet of fencing. Acres are converted to length if you enter a width. If width is not entered, 10 feet is used. Widths greater than 34 should use the Forest Buffer-Streamside with Exclusion Fencing BMP.",7,,4,1
9,forestbuffers,Forest Buffer,1,"Forest buffers are linear wooded areas that help filter nutrients, sediments and other pollutants from runoff as well as remove nutrients from groundwater.  The recommended buffer width is 100 feet, with a 35 feet minimum width required. Enter units of acres or percent.",66,,59,1
10,agstormeff,Agricultural Stormwater Management,1,Agricultural stormwater associated with confined agricultural livestock production land area through practices that reduce nutrient and sediment pollutant loads through engineered mechanisms such as settling or filtering. Enter units of acres treated or percent of acres treated.,10,Ag Stormwater Management,16,3
11,treeplant,Tree Planting,1,"Tree planting includes any tree planting, except those used to establish riparian forest buffers, targeting lands that are highly erodible or identified as critical resource areas. Enter units of acres or percent.",11,Tree Planting,61,1
12,landretireopen,Land Retirement to Ag Open Space,1,"Converts land area to hay without nutrients. Agricultural land retirement takes marginal and highly erosive cropland out of production by planting permanent vegetative cover such as shrubs, grasses, and/or trees. Enter units of acres or percent.",12,Land Retirement to Ag Open Space,62,1
13,grassbuffers,Grass Buffer,1,"Grass buffers are linear strips of grass or other non-woody vegetation maintained to help filter nutrients, sediment and other pollutants from runoff.  The recommended buffer width for buffers is 100 feet, with a 35 feet minimum width required. Vegetated open channels are modeled identically to grass buffers. Enter units of acres or percent.",65,,63,1
14,forestcon,Forest Conservation,1,This BMP in Maryland is the implementation of the Maryland Forest Conservation Act that requires developers to maintain at least 20% of a development site in trees (forest condition). This Act serves to alter the rate of urban conversion. Report those acres that were maintained as forest. The model treats this as a land use conversion from urban to forest land. Enter units of acres or percent.,14,Forest Conservation,64,1
15,impsurred,Impervious Surface Reduction,1,Reducing impervious surfaces to promote infiltration and percolation of runoff storm water. Enter units of acres or percent.,15,Impervious Surface Reduction,65,1
16,conservlandscape,Conservation Landscaping Practices,1,"The conversion of managed turf into actively maintained perennial meadows, using species that are native to the Chesapeake Bay region. Enter unit of total acres treated or percent of acres treated.",16,Conservation Landscaping Practices,42,3
17,forestbufurban,Forest Buffer,1,"Forest buffers are linear wooded areas that help filter nutrients, sediments and other pollutants from runoff as well as remove nutrients from groundwater.  The recommended buffer width is 100 feet, with a 35 feet minimum width required. Enter units of acres of buffer or percent.",17,Buffer-Upland,67,1
18,landretirepas,Land Retirement to Pasture,1,"Converts land area to pasture. Agricultural land retirement takes marginal and highly erosive cropland out of production by planting permanent vegetative cover such as shrubs, grasses, and/or trees. Agricultural agencies have a program to assist farmers in land retirement procedures. Enter units of acres or percent.",18,Land Retirement to Pasture,68,1
19,urbgrassbuffers,Grass Buffers,1,"This BMP changes the land use from pervious urban to pervious urban. Therefore, there is no change and no reduction from using this BMP.",17,,69,1
21,carseqaltcrop,Alternative Crops,1,"Accounts for those crops that are planted and managed as permanent, such as warm season grasses, to sequester carbon in the soil. Carbon sequestration refers to the conversion of crop to hay land. Enter units of acres or percent.",21,Alternative Crops,70,1
22,forestbuffexcl,Forest Buffer-Streamside with Exclusion Fencing,1,"Converts streamside pasture to forest and prevents livestock from entering the stream. The recommended buffer width is 100 feet, with a 35 feet minimum width required.Enter units of feet of fence or acres excluded by the fence. There are 17.6 animal units excluded for every 1,000 feet of fencing. Acres are converted to length if you enter a width. If width is not entered, 35 feet is used. Widths less than 35 should use the Forest Buffer-Narrow with Exclusion Fencing BMP.",7,,6,1
23,urbstrmrest,Urban Stream Restoration,1,"Stream restoration is a change to the stream corridor that improves the  stream ecosystem by restoring the natural hydrology and landscape of a stream, and helps improve habitat and water quality conditions in degraded streams. Use this BMP if the specific project design is not known. Feet must be specified.",23,Stream Restoration,74,4
24,nonurbstrmrest,Non Urban Stream Restoration,1,"Stream restoration is a change to the stream corridor that improves the  stream ecosystem by restoring the natural hydrology and landscape of a stream, and helps improve habitat and water quality conditions in degraded streams. Use this BMP if the specific project design is not known. Feet must be specified.",23,,74,4
25,dirtgraveldsa,Dirt & Gravel Road Erosion & Sediment Control - Driving Surface Aggregate + Raising the Roadbed,1,"Reduce the amount of sediment runoff from dirt and gravel roads through the use of driving surface aggregates (DSA) such as durable and erosion resistant road surface and raising road elevation to restore natural drainage patterns. Where specific design is unknown, use the BMP with outlets only. Enter units of feet.",64,,73,4
26,shoreurb,Urban Shoreline Management,1,"Any practice along urban-dominated tidal shorelines that prevents and/or reduces tidal sediments to the Bay. Shoreline practices can include living shorelines, revetments and/or breakwater systems and bulkheads and seawalls. Only report practices installed after 12/31/2007. Shoreline BMPs before 2008 are automatically credited. Use this BMP if the specific design is not known. Input units of feet.",26,Shoreline Management,72,4
27,oysterreefrestnutass,Oyster reef restoration – nutrient assimilation,1, Restoration of oyster reefs in tidal areas of the Chesapeake Bay or its tributaries using hatchery-produced oysters and/or using substrate addition to enhance oyster biomass in areas where removal (harvest) is not permitted. Enter the area (in acres) of the reef restoration project.,27,Oyster Reef Restoration,72,4
28,oysterreefrestdenitr,Oyster reef restoration – enhanced denitrification,1,Restoration of oyster reefs in tidal areas of the Chesapeake Bay or its tributaries using hatchery-produced oysters and/or using substrate addition to enhance oyster biomass in areas where removal (harvest) is not permitted. Enter the area (in acres) of the reef restoration project.,27,,72,4
29,oswnofence,Off Stream Watering Without Fencing,1,"This BMP requires the use of alternative drinking water sources such as permanent or portable livestock water troughs placed away from the stream corridor. Implementing off-stream shade for livestock is encouraged where applicable. The source of water supplied to the facilities can be from any source including pipelines, spring developments, water wells, and ponds. In-stream watering facilities such as stream crossings or access points are not considered in this definition. The modeled benefits of alternative watering facilities can be applied to pasture acres in association with or without improved pasture management systems such as rotational grazing. Enter units of acres or percent.",29,Off Stream Watering Without Fencing,40,3
30,precrotgrazing,Precision Intensive Rotational/Prescribed Grazing,1,"This practice utilizes a range of pasture management and grazing techniques to improve the quality and quantity of the forages grown on pastures and reduce the impact of animal travel lanes, animal concentration areas or other degraded areas. PG can be applied to pastures intersected by streams or upland pastures outside of the degraded stream corridor (35 feet width from top of bank). The modeled benefits of prescribed grazing practices can be applied to pasture acres in association with or without alternative watering facilities. They can also be applied in conjunction with or without stream access control. Pastures under the PG systems are defined as having a vegetative cover of 60% or greater. Enter units of acres or percent.",30,Precision Intensive Rotational/Prescribed Grazing,39,3
31,manuretransport,Manure Transport,3,"Transport of excess manure in or out of a county. Manure may be of any type—poultry, dairy, or any of the animal categories. Transport should only be reported for county to county transport. Movement within the same county should not be included. Enter either the dry or wet tons. Calculations are performed on dry tons, so if you enter wet tons, they are converted for you.",31,Manure Transport,85,6
32,broilerfreezers,Broiler Mortality Freezers,3,"This BMP represents the temporary storage of routine broiler mortalities in large on-farm freezer units for collection by a contractor or service-provider. The credit is 29 lbs of N and 4.9 lbs of P per ton of broiler carcasses. Enter county where the bird carcass originated, county where the bird carcass was transported and the tons of bird carcasses.",32,Broiler Mortality Freezers,85,6
33,horsepasman,Horse Pasture Management,1,"Horse Pasture Management is defined as maintaining a 50% pasture cover with managed species (desirable, inherent) and managing high traffic areas. Enter units of acres or percent.",33,Horse Pasture Management,39,3
34,shoreag,Non Urban Shoreline Management,1,"Any practice along agriculturally-dominated tidal shorelines that prevents and/or reduces tidal sediments to the Bay. Shoreline practices can include living shorelines, revetments and/or breakwater systems and bulkheads and seawalls. Only report practices installed after 12/31/2007. Shoreline BMPs before 2008 are automatically credited. Use this BMP if the specific design is not known. Input units of feet.",26,,72,4
35,mortalitycomp,Mortality Composters,2,"A physical structure and process for disposing of any type of dead animals.  Composted material is land applied using nutrient management plan recommendations. Enter units of the percent of dead animals composted, animal count, animal units, or number of systems.",35,Mortality Composters,84,5
36,watercontstruc,Water Control Structures,1,Installing and managing boarded gate systems in agricultural land that contains surface drainage ditches. Enter units of acres or percent of area.,36,Ditch Systems-Other,41,3
37,wetpondwetland,Wet Ponds and Wetlands,1,A water impoundment structure that intercepts stormwater runoff then releases it to an open water system at a specified flow rate.  These structures retain a permanent pool and usually have retention times sufficient to allow settlement of some portion of the intercepted sediments and attached nutrients/toxics.  There is little or no vegetation living within the pooled area. Outfalls are not directed through vegetated areas prior to open water release.  Nitrogen reduction is minimal. Enter unit of total acres treated or percent of acres treated.,37,Wet Ponds and Wetlands,42,3
38,dryponds,Dry Detention Ponds and Hydrodynamic Structures,1,"Dry Detention Ponds are depressions or basins created by excavation or berm construction that temporarily store runoff and release it slowly via surface flow or groundwater infiltration following storms. Hydrodynamic Structures are devices designed to improve quality of stormwater using features such as swirl concentrators, grit chambers, oil barriers, baffles, micropools, and absorbent pads that are designed to remove sediments, nutrients, metals, organic chemicals, or oil and grease from urban runoff.  Enter unit of total acres treated or percent of acres treated.",38,Dry Detention Ponds and Hydrodynamic Structures,42,3
39,extdryponds,Dry Extended Detention Ponds,1,"Dry extended detention (ED) basins are depressions created by excavation or berm construction that temporarily store runoff and release it slowly via surface flow or groundwater infiltration following storms. Dry ED basins are designed to dry out between storm events, in contrast with wet ponds, which contain standing water permanently. As such, they are similar in construction and function to dry detention basins, except that the duration of detention of stormwater is designed to be longer, theoretically improving treatment effectiveness.  Enter unit of total acres treated or percent of acres treated.",39,Dry Extended Detention Ponds,42,3
40,infiltration,"Infiltration Practices w/o Sand, Veg. - A/B soils, no underdrain",1,"A depression to form an infiltration basin where sediment is trapped and water infiltrates the soil.  Sand layers and vegetation are not required. No underdrains are associated with infiltration basins and trenches, because by definition these systems provide complete infiltration.  Design specifications require infiltration basins and trenches to be built in A or B soil types. This BMP without sand or vegetation is used where the specific design is unknown. Enter unit of total acres treated or percent of acres treated.",40,Infiltration Practices,42,3
41,infiltwithsv,"Infiltration Practices w/ Sand, Veg. - A/B soils, no underdrain",1,"A depression to form an infiltration basin where sediment is trapped and water infiltrates the soil.  A sand layer and vegetation is required. No underdrains are associated with infiltration basins and trenches, because by definition these systems provide complete infiltration. Design specifications require infiltration basins and trenches to be built in A or B soil types. Use the other BMP without sand or vegetation where the specific design is unknown. Enter unit of total acres treated or percent of acres treated.",40,,42,3
42,filter,Filtering Practices,1,"Practices that capture and temporarily store runoff and pass it through a filter bed of either sand or an organic media.  There are various sand filter designs, such as above ground, below ground, perimeter, etc.  An organic media filter uses another medium besides sand to enhance pollutant removal for many compounds due to the increased cation exchange capacity achieved by increasing the organic matter.  These systems require annual inspection and maintenance to receive pollutant reduction credit. Enter unit of total acres treated or percent of acres treated.",42,Filtering Practices,42,3
43,rr,Stormwater Performance Standard-Runoff Reduction,1,"Total post-development runoff volume that is reduced through canopy interception, soil amendments, evaporation, rainfall harvesting, engineered infiltration, extended filtration or evapo-transpiration. Stormwater practices that achieve at least a 25% reduction of the annual runoff volume are classified as providing runoff reduction, and therefore earn a higher net removal rate. Enter units of acres treated, impervious acres and acre-feet. Credit is only received if all three amounts are entered.",43,Stormwater Performance Standard-Runoff Reduction,42,3
44,st,Stormwater Performance Standard-Stormwater Treatment,1,"Total post-development runoff volume that is reduced through a permanent pool, constructed wetlands or sand filters have less runoff reduction capability, and their removal rate is lower than runoff reduction. Enter units of acres treated, impervious acres and acre-feet. Credit is only received if all three amounts are entered.",44,Stormwater Performance Standard-Stormwater Treatment,42,3
45,imperviousdisconnection,Impervious Disconnection to amended soils,1,Disconnecting existing impervious area runoff from stormwater drainage systems such as directing rooftops and/or on-lot impervious surfaces to pervious areas with amended soils. Report disconnect to un-amended soils as Urban Filter Strip. Submit units of impervious acres or percent.,45,Impervious Disconnection,42,3
46,forharvestbmp,Forest Harvesting Practices,1,"Forest harvesting practices are a suite of BMPs that minimize the environmental impacts of road building, log removal, site preparation and forest management.  These practices help reduce suspended sediments and associated nutrients that can result from forest operations.  Enter units of acres or percent.",46,Forest Harvesting Practices,45,3
48,covercroptradred,Cover Crop Traditional Rye Early Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Rye cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
49,covercroptradreo,Cover Crop Traditional Rye Early Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Rye cover crop is planted at least 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
50,covercroptradrea,Cover Crop Traditional Rye Early Aerial,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Rye cover crop is planted at least 2 weeks prior to the average frost date with a aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
51,covercroptradrnd,Cover Crop Traditional Rye Normal Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Rye cover crop is planted no more than 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
52,covercroptradrno,Cover Crop Traditional Rye Normal Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Rye cover crop is planted no more than 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
53,covercroptradnutbreo,Cover Crop Traditional with Fall Nutrients Brassica Early Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Brassica cover crop is planted at least 2 weeks prior to the average frost date with a seeding method other than drilled on cropland where manure is applied following the harvest of a summer crop and prior to cover crop planting. The crop may not be harvested in the spring. Enter units of acres or percent.,238,,43,3
