"GeographyId","GeographyTypeId","GeographyName","GeographyFullName"
290,4,"10003","New Castle", "DE"
291,4,"10005","Sussex", "DE"
292,4,"24005","Baltimore", "MD"
293,4,"24013","Carroll", "MD"
294,4,"24015","Cecil", "MD"
295,4,"24021","Frederick", "MD"
296,4,"24025","Harford", "MD"
297,4,"24027","Howard", "MD"
298,4,"24031","Montgomery", "MD"
299,4,"11001","Washington", "DC"
300,4,"24003","Anne Arundel", "MD"
301,4,"24009","Calvert", "MD"
302,4,"24011","Caroline", "MD"
303,4,"24017","Charles", "MD"
304,4,"24019","Dorchester", "MD"
305,4,"24029","Kent", "MD"
306,4,"24033","Prince Georges", "MD"
307,4,"24035","Queen Annes", "MD"
308,4,"24037","St. Marys", "MD"
309,4,"24039","Somerset", "MD"
310,4,"24041","Talbot", "MD"
311,4,"24045","Wicomico", "MD"
312,4,"24001","Allegany", "MD"
313,4,"24023","Garrett", "MD"
314,4,"24043","Washington", "MD"
315,4,"42081","Lycoming", "PA"
316,4,"42083","Mckean", "PA"
317,4,"42105","Potter", "PA"
318,4,"42111","Somerset", "PA"
319,4,"42113","Sullivan", "PA"
320,4,"42115","Susquehanna", "PA"
321,4,"42117","Tioga", "PA"
322,4,"42127","Wayne", "PA"
323,4,"42131","Wyoming", "PA"
324,4,"42079","Luzerne", "PA"
325,4,"42087","Mifflin", "PA"
326,4,"42093","Montour", "PA"
327,4,"42097","Northumberland", "PA"
328,4,"42099","Perry", "PA"
329,4,"42107","Schuylkill", "PA"
330,4,"42109","Snyder", "PA"
331,4,"42119","Union", "PA"
332,4,"42071","Lancaster", "PA"
333,4,"42075","Lebanon", "PA"
334,4,"42133","York", "PA"
335,4,"51001","Accomack", "VA"
336,4,"51013","Arlington", "VA"
337,4,"51033","Caroline", "VA"
338,4,"51036","Charles City", "VA"
339,4,"51057","Essex", "VA"
340,4,"51073","Gloucester", "VA"
341,4,"51085","Hanover", "VA"
342,4,"51087","Henrico", "VA"
343,4,"51093","Isle Of Wight", "VA"
344,4,"51095","James City", "VA"
345,4,"51097","King And Queen", "VA"
346,4,"51099","King George", "VA"
347,4,"51101","King William", "VA"
348,4,"51103","Lancaster", "VA"
349,4,"51115","Mathews", "VA"
350,4,"51119","Middlesex", "VA"
351,4,"51127","New Kent", "VA"
352,4,"51131","Northampton", "VA"
353,4,"51133","Northumberland", "VA"
354,4,"51149","Prince George", "VA"
355,4,"51159","Richmond", "VA"
356,4,"51181","Surry", "VA"
357,4,"51193","Westmoreland", "VA"
358,4,"51199","York", "VA"
359,4,"51550","Chesapeake City", "VA"
360,4,"51800","Suffolk City", "VA"
361,4,"51810","Virginia Beach City", "VA"
