"LrsegId","LandRiverSegment","LandSegmentGeographyId","LandSegment","RiverSegment","FIPS","StateId","CountyId","HgmrId","OutOfCBWS","AboveRIM","TotalAcres","TotalAcresIncludingTidalWetlands"
1,N10001DE0_3380_0000,6560,N10001,DE0_3380_0000,"10001",2,157,3,1,0,17046.189,18739.670
2,N10001DE0_3410_0000,6560,N10001,DE0_3410_0000,"10001",2,157,3,1,0,44268.918,66420.906
3,N10001DE0_3790_0000,6560,N10001,DE0_3790_0000,"10001",2,157,3,1,0,32618.528,36817.426
4,N10001DE0_3791_0001,6560,N10001,DE0_3791_0001,"10001",2,157,3,1,0,20262.133,20262.648
5,N10001DE0_3840_0000,6560,N10001,DE0_3840_0000,"10001",2,157,3,1,0,12431.819,14950.931
6,N10001DE0_4140_0000,6560,N10001,DE0_4140_0000,"10001",2,157,3,1,0,48144.167,53928.957
7,N10001DE0_4141_0001,6560,N10001,DE0_4141_0001,"10001",2,157,3,1,0,12755.371,12802.266
8,N10001DE0_4230_0000,6560,N10001,DE0_4230_0000,"10001",2,157,3,1,0,18867.718,24947.252
9,N10001DE0_4231_0001,6560,N10001,DE0_4231_0001,"10001",2,157,3,1,0,2430.034,2430.034
10,N10001EL2_4400_4590,6560,N10001,EL2_4400_4590,"10001",2,157,3,0,0,30324.339,30390.273
11,N10001EL0_4560_4562,6560,N10001,EL0_4560_4562,"10001",2,157,3,0,0,8087.509,8087.619
12,N10001EL2_4590_0001,6560,N10001,EL2_4590_0001,"10001",2,157,3,0,0,8912.080,8982.849
13,N10001EM2_3980_0001,6560,N10001,EM2_3980_0001,"10001",2,157,3,0,1,52282.969,52282.969
14,N10001EM3_4326_0000,6560,N10001,EM3_4326_0000,"10001",2,157,3,0,0,12380.818,12380.818
15,N10001EU2_3520_0001,6560,N10001,EU2_3520_0001,"10001",2,157,3,0,0,19218.309,19218.309
16,N10003EU2_3520_0001,6425,N10003,EU2_3520_0001,"10003",2,1,3,0,0,6849.718,6849.875
17,N10003EU1_2983_0000,6425,N10003,EU1_2983_0000,"10003",2,1,2,0,0,1275.756,1275.894
18,N10003EU1_2981_0000,6425,N10003,EU1_2981_0000,"10003",2,1,2,0,0,198.623,198.634
19,N10003EU0_3361_0000,6425,N10003,EU0_3361_0000,"10003",2,1,2,0,0,5246.199,5246.520
20,N10003DE0_2590_0000,6425,N10003,DE0_2590_0000,"10003",2,1,6,1,0,6568.213,6572.564
21,N10003DE0_2600_0000,6425,N10003,DE0_2600_0000,"10003",2,1,6,1,0,14681.271,14753.386
22,N10003DE0_2610_0000,6425,N10003,DE0_2610_0000,"10003",2,1,3,1,0,9215.432,9327.941
23,N10003DE0_2640_0000,6425,N10003,DE0_2640_0000,"10003",2,1,6,1,0,13360.852,13513.762
24,N10003DE0_2690_0000,6425,N10003,DE0_2690_0000,"10003",2,1,6,1,0,28958.057,29567.309
25,N10003DE0_2710_0000,6425,N10003,DE0_2710_0000,"10003",2,1,2,1,0,41889.042,43351.430
26,N10003DE0_2800_0000,6425,N10003,DE0_2800_0000,"10003",2,1,3,1,0,3648.590,3807.638
27,N10003DE0_2850_0000,6425,N10003,DE0_2850_0000,"10003",2,1,3,1,0,6059.324,6424.344
28,N10003DE0_2870_0000,6425,N10003,DE0_2870_0000,"10003",2,1,3,1,0,327.776,355.873
29,N10003DE0_2920_0000,6425,N10003,DE0_2920_0000,"10003",2,1,3,1,0,6605.002,7007.729
30,N10003DE0_2960_0000,6425,N10003,DE0_2960_0000,"10003",2,1,3,1,0,6337.417,6654.177
31,N10003DE0_2990_0000,6425,N10003,DE0_2990_0000,"10003",2,1,2,1,0,25629.042,28388.645
32,N10003DE0_3110_0000,6425,N10003,DE0_3110_0000,"10003",2,1,2,1,0,26895.921,29681.926
33,N10003DE0_3260_0000,6425,N10003,DE0_3260_0000,"10003",2,1,3,1,0,16614.278,19505.098
34,N10003DE0_3280_0000,6425,N10003,DE0_3280_0000,"10003",2,1,3,1,0,469.210,1570.045
35,N10003DE0_3310_0000,6425,N10003,DE0_3310_0000,"10003",2,1,3,1,0,2206.326,4475.076
36,N10003DE0_3380_0000,6425,N10003,DE0_3380_0000,"10003",2,1,3,1,0,19407.029,21950.582
37,N10003EU0_3010_0000,6425,N10003,EU0_3010_0000,"10003",2,1,2,0,0,7240.788,7283.703
38,N10003EU0_3011_0000,6425,N10003,EU0_3011_0000,"10003",2,1,2,0,0,3421.339,3446.935
39,N10003EU0_3201_0000,6425,N10003,EU0_3201_0000,"10003",2,1,2,0,0,5605.730,5651.464
40,N10005EL0_4597_0000,6549,N10005,EL0_4597_0000,"10005",2,2,3,0,0,1231.848,1231.848
41,N10005DE0_4350_0000,6549,N10005,DE0_4350_0000,"10005",2,2,3,1,0,28479.102,33277.320
42,N10005DE0_4520_0000,6549,N10005,DE0_4520_0000,"10005",2,2,3,1,0,60909.187,68343.984
43,N10005DE0_4570_0000,6549,N10005,DE0_4570_0000,"10005",2,2,3,1,0,8501.038,10815.925
44,N10005DE0_4680_0000,6549,N10005,DE0_4680_0000,"10005",2,2,3,1,0,35015.976,37784.906
45,N10005DE0_4800_0000,6549,N10005,DE0_4800_0000,"10005",2,2,3,1,0,53740.905,54699.273
46,N10005DE0_4850_0000,6549,N10005,DE0_4850_0000,"10005",2,2,12,1,0,44320.014,47575.434
47,N10005DE0_4990_0000,6549,N10005,DE0_4990_0000,"10005",2,2,2,1,0,9816.936,9946.492
48,N10005DE0_4230_0000,6549,N10005,DE0_4230_0000,"10005",2,2,3,1,0,18999.418,20931.832
49,N10005EL2_4590_0001,6549,N10005,EL2_4590_0001,"10005",2,2,3,0,0,22108.808,22240.564
50,N10005EL0_4594_0000,6549,N10005,EL0_4594_0000,"10005",2,2,3,0,0,6009.055,6009.065
51,N10005EL2_4630_0000,6549,N10005,EL2_4630_0000,"10005",2,2,2,0,0,52120.879,53157.664
52,N10005EL0_4631_0000,6549,N10005,EL0_4631_0000,"10005",2,2,3,0,0,24971.300,25114.895
53,N10005EL0_4632_0000,6549,N10005,EL0_4632_0000,"10005",2,2,3,0,0,40386.492,40777.035
54,N10005EL0_4633_0000,6549,N10005,EL0_4633_0000,"10005",2,2,3,0,0,75942.244,76582.258
55,N10005EL2_5110_5270,6549,N10005,EL2_5110_5270,"10005",2,2,3,0,0,22459.982,22459.982
56,N10005EL0_5400_0001,6549,N10005,EL0_5400_0001,"10005",2,2,3,0,0,1362.541,1362.704
57,N10005EL0_4560_4562,6549,N10005,EL0_4560_4562,"10005",2,2,3,0,0,18557.555,18557.555
58,N10005EL0_4561_4562,6549,N10005,EL0_4561_4562,"10005",2,2,3,0,0,19449.410,19486.326
59,N10005EL0_4562_0001,6549,N10005,EL0_4562_0001,"10005",2,2,2,0,0,5911.327,6204.464
60,N10005EL0_4591_0000,6549,N10005,EL0_4591_0000,"10005",2,2,3,0,0,729.800,729.800
61,N10005DE0_5170_0000,6549,N10005,DE0_5170_0000,"10005",2,2,12,1,0,5367.712,5407.258
62,N10005DE0_5020_0000,6549,N10005,DE0_5020_0000,"10005",2,2,3,1,0,19103.752,22133.332
63,N10005DE0_5021_0000,6549,N10005,DE0_5021_0000,"10005",2,2,3,1,0,2068.901,2143.055
64,N11001PL1_4460_4780,6521,N11001,PL1_4460_4780,"11001",1,10,6,0,0,883.030,883.032
65,N11001PL0_4510_0001,6521,N11001,PL0_4510_0001,"11001",1,10,2,0,0,1694.450,1694.545
66,N11001PL1_4780_0001,6521,N11001,PL1_4780_0001,"11001",1,10,6,0,0,5300.677,5303.794
67,N11001PL2_4810_0000,6521,N11001,PL2_4810_0000,"11001",1,10,2,0,0,9802.213,9838.438
68,N11001PL7_4942_0000,6521,N11001,PL7_4942_0000,"11001",1,10,12,0,0,165.979,165.979
69,N11001PL2_4945_0000,6521,N11001,PL2_4945_0000,"11001",1,10,12,0,0,12802.840,12803.295
70,N11001PL7_4960_0000,6521,N11001,PL7_4960_0000,"11001",1,10,12,0,0,3661.222,3661.222
71,N11001PL7_4940_0000,6521,N11001,PL7_4940_0000,"11001",1,10,12,0,0,1255.765,1255.765
72,N11001PL7_4941_0000,6521,N11001,PL7_4941_0000,"11001",1,10,12,0,0,197.099,197.115
73,N11001PL7_4910_0000,6521,N11001,PL7_4910_0000,"11001",1,10,6,0,0,2402.746,2405.852
74,N11001PM7_4820_0001,6521,N11001,PM7_4820_0001,"11001",1,10,6,0,1,1311.867,1311.867
75,N11001PL2_4811_0000,6521,N11001,PL2_4811_0000,"11001",1,10,2,0,0,237.478,238.832
76,N24001PU1_3100_3690,6606,N24001,PU1_3100_3690,"24001",3,23,7,0,1,10098.403,10098.403
77,N24001PU2_3140_3680,6606,N24001,PU2_3140_3680,"24001",3,23,7,0,1,3481.125,3481.125
78,N24001PU2_3180_3370,6606,N24001,PU2_3180_3370,"24001",3,23,7,0,1,1422.845,1422.845
79,N24001PU2_3370_4020,6606,N24001,PU2_3370_4020,"24001",3,23,7,0,1,42039.387,42039.387
80,N24001PU1_3580_3780,6606,N24001,PU1_3580_3780,"24001",3,23,7,0,1,19947.348,19947.348
81,N24001PU3_3680_3890,6606,N24001,PU3_3680_3890,"24001",3,23,8,0,1,35329.346,35330.926
82,N24001PU4_3780_3930,6606,N24001,PU4_3780_3930,"24001",3,23,7,0,1,11378.725,11379.503
83,N24001PU1_3850_4190,6606,N24001,PU1_3850_4190,"24001",3,23,8,0,1,438.482,438.482
84,N24001PU6_3870_3690,6606,N24001,PU6_3870_3690,"24001",3,23,7,0,1,11135.551,11135.551
85,N24001PU0_3871_3690,6606,N24001,PU0_3871_3690,"24001",3,23,7,0,1,32023.646,32024.621
86,N24001PU4_3890_3990,6606,N24001,PU4_3890_3990,"24001",3,23,7,0,1,1260.488,1260.488
87,N24001PU5_3930_4170,6606,N24001,PU5_3930_4170,"24001",3,23,7,0,1,23876.761,23876.797
88,N24001PU4_3970_3890,6606,N24001,PU4_3970_3890,"24001",3,23,7,0,1,35604.813,35604.813
89,N24001PU1_3940_3970,6606,N24001,PU1_3940_3970,"24001",3,23,8,0,1,35885.262,35885.262
90,N24001PU4_3990_3780,6606,N24001,PU4_3990_3780,"24001",3,23,7,0,1,1077.043,1077.043
91,N24001PU6_4020_3870,6606,N24001,PU6_4020_3870,"24001",3,23,7,0,1,8479.968,8479.968
92,N24001PU5_4170_4020,6606,N24001,PU5_4170_4020,"24001",3,23,7,0,1,1270.145,1270.318
93,N24001PU4_4440_3970,6606,N24001,PU4_4440_3970,"24001",3,23,8,0,1,403.320,403.320
94,N24003XU3_4650_0001,6428,N24003,XU3_4650_0001,"24003",3,11,3,0,1,2797.597,2895.218
95,N24003XU2_4480_4650,6428,N24003,XU2_4480_4650,"24003",3,11,12,0,1,7081.522,7087.005
96,N24003XL3_4710_0000,6428,N24003,XL3_4710_0000,"24003",3,11,2,0,0,11854.206,12214.498
97,N24003XL3_4711_0000,6428,N24003,XL3_4711_0000,"24003",3,11,2,0,0,9331.660,9452.403
98,N24003XL3_4712_0000,6428,N24003,XL3_4712_0000,"24003",3,11,2,0,0,4670.982,4778.867
99,N24003XL3_4713_0000,6428,N24003,XL3_4713_0000,"24003",3,11,2,0,0,12146.178,12238.951
100,N24003XL3_4950_0000,6428,N24003,XL3_4950_0000,"24003",3,11,2,0,0,3235.504,3235.504
101,N24003XU2_4270_4650,6428,N24003,XU2_4270_4650,"24003",3,11,2,0,1,27082.359,28209.389
102,N24003WL0_4420_0000,6428,N24003,WL0_4420_0000,"24003",3,11,3,0,0,15355.251,15425.754
103,N24003WL0_4421_0000,6428,N24003,WL0_4421_0000,"24003",3,11,2,0,0,6880.154,6960.664
104,N24003WL0_4422_0000,6428,N24003,WL0_4422_0000,"24003",3,11,2,0,0,3463.016,3595.240
105,N24003WL0_4423_0000,6428,N24003,WL0_4423_0000,"24003",3,11,2,0,0,10517.080,10643.678
106,N24003WL0_4600_0000,6428,N24003,WL0_4600_0000,"24003",3,11,2,0,0,21697.801,22089.453
107,N24003WL0_4601_0000,6428,N24003,WL0_4601_0000,"24003",3,11,12,0,0,2956.990,3056.713
108,N24003WL0_4602_0000,6428,N24003,WL0_4602_0000,"24003",3,11,2,0,0,8186.043,8721.732
109,N24003WL0_4603_0000,6428,N24003,WL0_4603_0000,"24003",3,11,2,0,0,11069.858,11367.368
110,N24003WL0_4770_0000,6428,N24003,WL0_4770_0000,"24003",3,11,12,0,0,6468.250,7588.808
111,N24003WL0_4771_0000,6428,N24003,WL0_4771_0000,"24003",3,11,2,0,0,7163.409,7970.308
112,N24003WL0_4772_0000,6428,N24003,WL0_4772_0000,"24003",3,11,12,0,0,5383.519,6600.443
113,N24003WM0_3961_0000,6428,N24003,WM0_3961_0000,"24003",3,11,2,0,0,21451.757,21527.172
114,N24003WM0_3962_0000,6428,N24003,WM0_3962_0000,"24003",3,11,2,0,0,8696.182,8771.186
115,N24003WM0_3963_0000,6428,N24003,WM0_3963_0000,"24003",3,11,2,0,0,5520.377,5654.224
116,N24003WM3_4060_0001,6428,N24003,WM3_4060_0001,"24003",3,11,2,0,0,15061.639,15166.582
117,N24003WL0_4425_0000,6428,N24003,WL0_4425_0000,"24003",3,11,12,0,0,985.435,1026.601
118,N24003WM0_3966_0000,6428,N24003,WM0_3966_0000,"24003",3,11,12,0,0,168.924,172.214
119,N24003WL0_4393_0000,6428,N24003,WL0_4393_0000,"24003",3,11,12,0,0,198.970,203.143
120,N24003WL0_4394_0000,6428,N24003,WL0_4394_0000,"24003",3,11,12,0,0,906.705,999.449
121,N24003WL0_4424_0000,6428,N24003,WL0_4424_0000,"24003",3,11,2,0,0,5935.277,6035.018
122,N24003WL0_4390_0000,6428,N24003,WL0_4390_0000,"24003",3,11,2,0,0,9997.006,10032.541
123,N24003WL0_4391_0000,6428,N24003,WL0_4391_0000,"24003",3,11,2,0,0,4124.903,4185.348
124,N24003WL0_4392_0000,6428,N24003,WL0_4392_0000,"24003",3,11,2,0,0,7791.180,7924.374
125,N24005WU0_3541_0000,6497,N24005,WU0_3541_0000,"24005",3,3,12,0,0,1122.518,1384.122
126,N24005WU0_3542_0000,6497,N24005,WU0_3542_0000,"24005",3,3,12,0,0,95.757,117.996
127,N24005WU0_3540_0000,6497,N24005,WU0_3540_0000,"24005",3,3,12,0,0,4009.835,4549.355
128,N24005WU0_3821_0000,6497,N24005,WU0_3821_0000,"24005",3,3,12,0,0,602.386,649.212
129,N24005WM0_3742_0000,6497,N24005,WM0_3742_0000,"24005",3,3,12,0,0,7609.494,7761.268
130,N24005WM0_3744_0000,6497,N24005,WM0_3744_0000,"24005",3,3,12,0,0,148.497,206.194
131,N24005WM0_3965_0000,6497,N24005,WM0_3965_0000,"24005",3,3,12,0,0,830.394,971.633
132,N24005WM0_3743_0000,6497,N24005,WM0_3743_0000,"24005",3,3,2,0,0,550.834,571.789
133,N24005WM0_3745_0000,6497,N24005,WM0_3745_0000,"24005",3,3,12,0,0,956.501,1063.846
134,N24005WM3_4060_0001,6497,N24005,WM3_4060_0001,"24005",3,3,6,0,0,17486.412,17609.568
135,N24005WM0_3964_0000,6497,N24005,WM0_3964_0000,"24005",3,3,12,0,0,10106.884,10195.922
136,N24005WM1_3910_0001,6497,N24005,WM1_3910_0001,"24005",3,3,6,0,0,6927.662,6927.662
137,N24005WM0_3881_3880,6497,N24005,WM0_3881_3880,"24005",3,3,6,0,0,17408.051,17408.051
138,N24005WU2_3020_3320,6497,N24005,WU2_3020_3320,"24005",3,3,6,0,0,47502.275,47503.648
139,N24005WU0_3021_3020,6497,N24005,WU0_3021_3020,"24005",3,3,6,0,0,25564.544,25565.246
140,N24005WU2_3320_3480,6497,N24005,WU2_3320_3480,"24005",3,3,6,0,0,17874.986,17874.986
141,N24005WU3_3480_3481,6497,N24005,WU3_3480_3481,"24005",3,3,6,0,0,19943.063,19943.063
142,N24005WU3_3481_0001,6497,N24005,WU3_3481_0001,"24005",3,3,6,0,0,29200.989,29240.049
143,N24005WU1_3482_0001,6497,N24005,WU1_3482_0001,"24005",3,3,6,0,0,17175.410,17266.018
144,N24005WU1_3490_3480,6497,N24005,WU1_3490_3480,"24005",3,3,6,0,0,16457.155,16457.760
145,N24005WU0_3670_0001,6497,N24005,WU0_3670_0001,"24005",3,3,2,0,0,10200.365,10246.733
146,N24005WU0_3671_0000,6497,N24005,WU0_3671_0000,"24005",3,3,2,0,0,6086.358,6326.927
147,N24005WU0_3820_0000,6497,N24005,WU0_3820_0000,"24005",3,3,2,0,0,5997.502,6035.488
148,N24005WM0_3650_0001,6497,N24005,WM0_3650_0001,"24005",3,3,6,0,0,25714.121,25714.121
149,N24005WM1_3660_3910,6497,N24005,WM1_3660_3910,"24005",3,3,6,0,0,20834.774,20835.158
150,N24005WM0_3740_0001,6497,N24005,WM0_3740_0001,"24005",3,3,2,0,0,7595.789,7631.787
151,N24005WM0_3741_0000,6497,N24005,WM0_3741_0000,"24005",3,3,2,0,0,6008.554,6039.993
152,N24005WM3_3880_4060,6497,N24005,WM3_3880_4060,"24005",3,3,6,0,0,16901.030,16901.916
153,N24005WU1_3350_3490,6497,N24005,WU1_3350_3490,"24005",3,3,6,0,0,37783.930,37783.930
154,N24005SL2_2910_3060,6497,N24005,SL2_2910_3060,"24005",3,3,6,0,0,7193.727,7193.727
155,N24009XL3_4950_0000,6616,N24009,XL3_4950_0000,"24009",3,12,2,0,0,18120.436,18394.527
156,N24009XL3_4713_0000,6616,N24009,XL3_4713_0000,"24009",3,12,2,0,0,5582.808,5727.916
157,N24009XL3_4951_0000,6616,N24009,XL3_4951_0000,"24009",3,12,2,0,0,7876.857,7997.385
158,N24009XL3_4952_0000,6616,N24009,XL3_4952_0000,"24009",3,12,12,0,0,2050.951,2070.448
159,N24009XL0_5350_0000,6616,N24009,XL0_5350_0000,"24009",3,12,2,0,0,11139.501,11429.669
160,N24009XL0_4954_0000,6616,N24009,XL0_4954_0000,"24009",3,12,2,0,0,6275.949,6318.602
161,N24009XL0_5348_0000,6616,N24009,XL0_5348_0000,"24009",3,12,2,0,0,18511.685,19018.514
162,N24009WL0_4772_0000,6616,N24009,WL0_4772_0000,"24009",3,12,2,0,0,14394.954,14793.982
163,N24009WL0_4920_0000,6616,N24009,WL0_4920_0000,"24009",3,12,2,0,0,6005.336,6204.207
164,N24009WL0_4921_0000,6616,N24009,WL0_4921_0000,"24009",3,12,2,0,0,7634.175,7949.225
165,N24009WL0_4922_0000,6616,N24009,WL0_4922_0000,"24009",3,12,2,0,0,3576.721,3652.571
166,N24009WL0_4925_0000,6616,N24009,WL0_4925_0000,"24009",3,12,2,0,0,2275.270,2363.692
167,N24009WL0_4923_0000,6616,N24009,WL0_4923_0000,"24009",3,12,3,0,0,2012.113,2139.397
168,N24009XL0_5320_0001,6616,N24009,XL0_5320_0001,"24009",3,12,3,0,0,5815.942,5940.251
169,N24009XL0_5341_0000,6616,N24009,XL0_5341_0000,"24009",3,12,12,0,0,3074.543,3192.575
170,N24009XL0_5345_0000,6616,N24009,XL0_5345_0000,"24009",3,12,2,0,0,4837.316,4966.761
171,N24009XL0_5346_0000,6616,N24009,XL0_5346_0000,"24009",3,12,2,0,0,5254.589,5398.129
172,N24009XL0_5342_0000,6616,N24009,XL0_5342_0000,"24009",3,12,2,0,0,6402.722,6520.854
173,N24009XL0_5343_0000,6616,N24009,XL0_5343_0000,"24009",3,12,12,0,0,3736.462,3819.623
174,N24011EL0_4591_0000,6539,N24011,EL0_4591_0000,"24011",3,13,3,0,0,16063.815,16422.887
175,N24011EL2_4630_0000,6539,N24011,EL2_4630_0000,"24011",3,13,3,0,0,438.241,438.422
176,N24011EL2_4590_0001,6539,N24011,EL2_4590_0001,"24011",3,13,3,0,0,22553.555,23453.613
177,N24011EM4_4740_0000,6539,N24011,EM4_4740_0000,"24011",3,13,2,0,0,9876.350,10910.698
178,N24011EM0_4324_0000,6539,N24011,EM0_4324_0000,"24011",3,13,2,0,0,6578.732,6793.365
179,N24011EM3_4325_0000,6539,N24011,EM3_4325_0000,"24011",3,13,2,0,0,30025.136,30578.432
180,N24011EM2_4100_0001,6539,N24011,EM2_4100_0001,"24011",3,13,3,0,0,21848.974,21970.920
181,N24011EM0_4323_0000,6539,N24011,EM0_4323_0000,"24011",3,13,2,0,0,4825.627,4942.381
182,N24011EM2_3980_0001,6539,N24011,EM2_3980_0001,"24011",3,13,3,0,1,20731.993,20988.928
183,N24011EM2_4101_0000,6539,N24011,EM2_4101_0000,"24011",3,13,2,0,0,13185.454,13761.149
184,N24011EM3_4320_0000,6539,N24011,EM3_4320_0000,"24011",3,13,3,0,0,22505.032,22903.818
