"ScenarioId","ScenarioName","ScenarioDescription","SourceDataRevisionId","BaseConditionId","ScenarioTypeId","BackoutScenarioId","NeienProgressRunId","PointSourceDataSetId","AtmDepDataSetId","ClimateChangeDataSetId","SoilPDataSetId","BaseLoadId","CostProfileId","CreateDate","UserId","ScenarioStatusId","IsEditable","IsCbpoScenario","Notes","IsPublicScenario","IsRestrictedByState","LastModifiedDate"
3780,"1985 Progress","Reflects the BMPs that are functioning in this year, as reported by the state to the Chesapeake Bay Program for annual progress. Uses 1985 base conditions and assumes maximum feasible air reductions are already considered.",8,4,2,6579,,95,0,59,2,6,4,2020-08-06 15:44:33.720,"3649d6cb-8486-42ea-a2f9-99043b0acb3d",13,0,1,,1,0,2020-08-06 15:44:34.290
3781,"1986 Progress","Reflects the BMPs that are functioning in this year, as reported by the state to the Chesapeake Bay Program for annual progress. Uses 1986 base conditions and assumes maximum feasible air reductions are already considered.",8,5,2,6580,,96,0,59,3,6,4,2020-08-06 15:44:34.310,"3649d6cb-8486-42ea-a2f9-99043b0acb3d",13,0,1,,1,0,2020-08-06 15:44:34.910
3782,"1987 Progress","Reflects the BMPs that are functioning in this year, as reported by the state to the Chesapeake Bay Program for annual progress. Uses 1987 base conditions and assumes maximum feasible air reductions are already considered.",8,6,2,6581,,97,0,59,4,6,4,2020-08-06 15:44:34.920,"3649d6cb-8486-42ea-a2f9-99043b0acb3d",13,0,1,,1,0,2020-08-06 15:44:35.427
3783,"1988 Progress","Reflects the BMPs that are functioning in this year, as reported by the state to the Chesapeake Bay Program for annual progress. Uses 1988 base conditions and assumes maximum feasible air reductions are already considered.",8,7,2,6582,,98,0,59,5,6,4,2020-08-06 15:44:35.450,"3649d6cb-8486-42ea-a2f9-99043b0acb3d",13,0,1,,1,0,2020-08-06 15:44:36.467
3784,"1989 Progress","Reflects the BMPs that are functioning in this year, as reported by the state to the Chesapeake Bay Program for annual progress. Uses 1989 base conditions and assumes maximum feasible air reductions are already considered.",8,8,2,6583,,99,0,59,6,6,4,2020-08-06 15:44:36.480,"3649d6cb-8486-42ea-a2f9-99043b0acb3d",13,0,1,,1,0,2020-08-06 15:44:37.717
3785,"1990 Progress","Reflects the BMPs that are functioning in this year, as reported by the state to the Chesapeake Bay Program for annual progress. Uses 1990 base conditions and assumes maximum feasible air reductions are already considered.",8,9,2,6584,,100,0,59,7,6,4,2020-08-06 15:44:37.740,"3649d6cb-8486-42ea-a2f9-99043b0acb3d",13,0,1,,1,0,2020-08-06 15:44:39.827
3786,"1991 Progress","Reflects the BMPs that are functioning in this year, as reported by the state to the Chesapeake Bay Program for annual progress. Uses 1991 base conditions and assumes maximum feasible air reductions are already considered.",8,10,2,6585,,101,0,59,8,6,4,2020-08-06 15:44:40.183,"3649d6cb-8486-42ea-a2f9-99043b0acb3d",13,0,1,,1,0,2020-08-06 15:44:45.473
3787,"1992 Progress","Reflects the BMPs that are functioning in this year, as reported by the state to the Chesapeake Bay Program for annual progress. Uses 1992 base conditions and assumes maximum feasible air reductions are already considered.",8,11,2,6586,,102,0,59,9,6,4,2020-08-06 15:44:45.523,"3649d6cb-8486-42ea-a2f9-99043b0acb3d",13,0,1,,1,0,2020-08-06 15:44:53.840
3788,"1993 Progress","Reflects the BMPs that are functioning in this year, as reported by the state to the Chesapeake Bay Program for annual progress. Uses 1993 base conditions and assumes maximum feasible air reductions are already considered.",8,12,2,6587,,103,0,59,10,6,4,2020-08-06 15:44:54.370,"3649d6cb-8486-42ea-a2f9-99043b0acb3d",13,0,1,,1,0,2020-08-06 15:44:59.077
3789,"1994 Progress","Reflects the BMPs that are functioning in this year, as reported by the state to the Chesapeake Bay Program for annual progress. Uses 1994 base conditions and assumes maximum feasible air reductions are already considered.",8,13,2,6588,,104,0,59,11,6,4,2020-08-06 15:44:59.160,"3649d6cb-8486-42ea-a2f9-99043b0acb3d",13,0,1,,1,0,2020-08-06 15:45:01.627
